cohort,feature,level,outcome,n_group,n_classifiable,positives,rate,wilson95_low,wilson95_high,interpretation_scope
healthy_ovulatory,sd_cycle_length,"(3.168, 3.515]",label_A_windowed_any,9999,9914,1165,0.11751059108331652,0.11131929278392717,0.1239981871849657,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(3.168, 3.515]",label_A_windowed_C1_or_C2,9999,9914,1165,0.11751059108331652,0.11131929278392717,0.1239981871849657,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(3.515, 3.947]",label_A_windowed_any,10000,9939,1123,0.1129892343294094,0.10691430512600861,0.11936321002281933,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(3.515, 3.947]",label_A_windowed_C1_or_C2,10000,9939,1123,0.1129892343294094,0.10691430512600861,0.11936321002281933,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(3.947, 8.011]",label_A_windowed_any,10000,9909,1099,0.11090927439701281,0.10487654518788547,0.11724356719033086,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,sd_cycle_length,"(3.947, 8.011]",label_A_windowed_C1_or_C2,10000,9909,1099,0.11090927439701281,0.10487654518788547,0.11724356719033086,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,dominant_seizure_cycle_days,"(0.499, 1.0]",label_A_windowed_any,49994,49599,5665,0.11421601241960523,0.1114466052130815,0.11704517319098084,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,dominant_seizure_cycle_days,"(0.499, 1.0]",label_A_windowed_C1_or_C2,49994,49599,5665,0.11421601241960523,0.1114466052130815,0.11704517319098084,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,dominant_seizure_cycle_days,"(1.0, 7.0]",label_A_windowed_any,1,1,0,0.0,0.0,0.7934506856227626,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,dominant_seizure_cycle_days,"(1.0, 7.0]",label_A_windowed_C1_or_C2,1,1,0,0.0,0.0,0.7934506856227626,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,pcos,False,label_A_windowed_any,50000,49605,5665,0.11420219735913718,0.11143310434910718,0.11703103884659087,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,pcos,False,label_A_windowed_C1_or_C2,50000,49605,5665,0.11420219735913718,0.11143310434910718,0.11703103884659087,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,peri_menarche,False,label_A_windowed_any,50000,49605,5665,0.11420219735913718,0.11143310434910718,0.11703103884659087,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,peri_menarche,False,label_A_windowed_C1_or_C2,50000,49605,5665,0.11420219735913718,0.11143310434910718,0.11703103884659087,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,perimenopause,False,label_A_windowed_any,50000,49605,5665,0.11420219735913718,0.11143310434910718,0.11703103884659087,Association between simulator inputs/realizations and simulated classification
healthy_ovulatory,perimenopause,False,label_A_windowed_C1_or_C2,50000,49605,5665,0.11420219735913718,0.11143310434910718,0.11703103884659087,Association between simulator inputs/realizations and simulated classification
population,age,"(12.999, 21.38]",label_A_windowed_any,10000,9924,3326,0.33514711809754133,0.3259252744439919,0.3444965374300393,Association between simulator inputs/realizations and simulated classification
population,age,"(12.999, 21.38]",label_A_windowed_C1_or_C2,10000,9924,1214,0.12232970576380492,0.11602874773864384,0.12892293374293845,Association between simulator inputs/realizations and simulated classification
population,age,"(12.999, 21.38]",label_A_windowed_C3,10000,8986,2671,0.2972401513465391,0.28787862626578903,0.30677495948520744,Association between simulator inputs/realizations and simulated classification
population,age,"(21.38, 29.8]",label_A_windowed_any,10066,9985,3762,0.37676514772158237,0.36730961889191677,0.3863154626407565,Association between simulator inputs/realizations and simulated classification
