table_type,subset,cohort,window_type,window_value,definition,phase_mode,assumption_based_historical,n_windows,n_classifiable,positives,false_positive_rate,wilson95_low,wilson95_high,indeterminate_rate,p_prevalence_ge_39_1,p_prevalence_ge_44_2
window_false_positive,all,population,calendar,1,A_windowed_C1_only,strict_herzog,False,50,32,14.0,0.4375,0.2816533111504036,0.6067440886314801,0.36,,
window_false_positive,all,population,calendar,3,A_windowed_C1_only,strict_herzog,False,50,44,24.0,0.5454545454545454,0.40066183198961974,0.6829476585777909,0.12,,
window_false_positive,all,population,calendar,4,A_windowed_C1_only,strict_herzog,False,50,46,27.0,0.5869565217391305,0.44339497779846154,0.7171139677518723,0.07999999999999996,,
window_false_positive,all,population,calendar,6,A_windowed_C1_only,strict_herzog,False,50,47,23.0,0.48936170212765956,0.3527555503368215,0.6275754625177314,0.06000000000000005,,
window_false_positive,all,population,calendar,12,A_windowed_C1_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,cycle,3,A_windowed_C1_only,strict_herzog,False,50,45,24.0,0.5333333333333333,0.3907745474012537,0.670648679349887,0.09999999999999998,,
window_false_positive,all,population,cycle,6,A_windowed_C1_only,strict_herzog,False,50,18,10.0,0.5555555555555556,0.33716415642042774,0.7544048187299437,0.64,,
window_false_positive,all,population,cycle,12,A_windowed_C1_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,full,full_diary,A_windowed_C1_only,strict_herzog,False,50,47,23.0,0.48936170212765956,0.3527555503368215,0.6275754625177314,0.06000000000000005,,
window_false_positive,all,healthy_ovulatory,calendar,1,A_windowed_C2_only,strict_herzog,False,50,31,9.0,0.2903225806451613,0.1609580015630062,0.46592329330749926,0.38,,
window_false_positive,all,healthy_ovulatory,calendar,3,A_windowed_C2_only,strict_herzog,False,50,40,10.0,0.25,0.14187118639096302,0.40193961420768026,0.19999999999999996,,
window_false_positive,all,healthy_ovulatory,calendar,4,A_windowed_C2_only,strict_herzog,False,50,43,7.0,0.16279069767441862,0.08116627347062008,0.29972405893747167,0.14,,
window_false_positive,all,healthy_ovulatory,calendar,6,A_windowed_C2_only,strict_herzog,False,50,45,7.0,0.15555555555555556,0.07745423484758268,0.2878390887239627,0.09999999999999998,,
window_false_positive,all,healthy_ovulatory,calendar,12,A_windowed_C2_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,3,A_windowed_C2_only,strict_herzog,False,50,41,7.0,0.17073170731707318,0.08525251977594998,0.3126261240040417,0.18000000000000005,,
window_false_positive,all,healthy_ovulatory,cycle,6,A_windowed_C2_only,strict_herzog,False,50,35,6.0,0.17142857142857143,0.08102640053701589,0.3268228229904496,0.30000000000000004,,
window_false_positive,all,healthy_ovulatory,cycle,12,A_windowed_C2_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,full,full_diary,A_windowed_C2_only,strict_herzog,False,50,45,7.0,0.15555555555555556,0.07745423484758268,0.2878390887239627,0.09999999999999998,,
window_false_positive,all,population,calendar,1,A_windowed_C2_only,strict_herzog,False,50,35,12.0,0.34285714285714286,0.20831694987048957,0.5084805048600374,0.30000000000000004,,
window_false_positive,all,population,calendar,3,A_windowed_C2_only,strict_herzog,False,50,43,12.0,0.27906976744186046,0.16746613786237488,0.42691028681878873,0.14,,
window_false_positive,all,population,calendar,4,A_windowed_C2_only,strict_herzog,False,50,45,16.0,0.35555555555555557,0.23219082604215877,0.5016418580362313,0.09999999999999998,,
window_false_positive,all,population,calendar,6,A_windowed_C2_only,strict_herzog,False,50,46,12.0,0.2608695652173913,0.156008864456426,0.4025915352801559,0.07999999999999996,,
window_false_positive,all,population,calendar,12,A_windowed_C2_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,cycle,3,A_windowed_C2_only,strict_herzog,False,50,44,18.0,0.4090909090909091,0.2768785562754973,0.555902462589681,0.12,,
window_false_positive,all,population,cycle,6,A_windowed_C2_only,strict_herzog,False,50,17,4.0,0.23529411764705882,0.09555044322080117,0.4726179811956498,0.6599999999999999,,
window_false_positive,all,population,cycle,12,A_windowed_C2_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,full,full_diary,A_windowed_C2_only,strict_herzog,False,50,46,12.0,0.2608695652173913,0.156008864456426,0.4025915352801559,0.07999999999999996,,
window_false_positive,all,healthy_ovulatory,calendar,1,A_windowed_C3_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,3,A_windowed_C3_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,4,A_windowed_C3_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,6,A_windowed_C3_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,12,A_windowed_C3_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,3,A_windowed_C3_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,6,A_windowed_C3_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,12,A_windowed_C3_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,full,full_diary,A_windowed_C3_only,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,1,A_windowed_C3_only,strict_herzog,False,50,10,8.0,0.8,0.49016247153664183,0.9433178485456247,0.8,,
window_false_positive,all,population,calendar,3,A_windowed_C3_only,strict_herzog,False,50,18,8.0,0.4444444444444444,0.24559518127005633,0.6628358435795723,0.64,,
